canonical_name,introduces_count,uses_count,momentum_score,total_papers,idf_score,idf_tier,momentum_label
AID,1,0,1,1,4.6052,SPECIALIZED,Positive
APIBench,1,0,1,1,4.6052,SPECIALIZED,Positive
AST Sub-Tree Matching,1,0,1,1,4.6052,SPECIALIZED,Positive
Abstract Syntax Tree sub-tree matching,1,0,1,1,4.6052,SPECIALIZED,Positive
ActAnywhere,1,0,1,1,4.6052,SPECIALIZED,Positive
Adversarial CVaR evaluation,1,0,1,1,4.6052,SPECIALIZED,Positive
AlphaLLM,1,0,1,1,4.6052,SPECIALIZED,Positive
Attack-aware noise calibration,1,0,1,1,4.6052,SPECIALIZED,Positive
Autoregressive image diffusion model,1,0,1,1,4.6052,SPECIALIZED,Positive
Bayesian approach for learning causal graphs with limited interventional samples,1,0,1,1,4.6052,SPECIALIZED,Positive
Bayesian ensemble interpretation of neural networks,1,0,1,1,4.6052,SPECIALIZED,Positive
CIPHER,1,0,1,1,4.6052,SPECIALIZED,Positive
CLA2,1,0,1,1,4.6052,SPECIALIZED,Positive
CLA3,1,0,1,1,4.6052,SPECIALIZED,Positive
CLA4,1,0,1,1,4.6052,SPECIALIZED,Positive
COGEX,1,0,1,1,4.6052,SPECIALIZED,Positive
Class-balanced mixture method,1,0,1,1,4.6052,SPECIALIZED,Positive
Compositional inference framework over semirings,1,0,1,1,4.6052,SPECIALIZED,Positive
Conjunctive vector-binding operation,1,0,1,1,4.6052,SPECIALIZED,Positive
Conservation law for feature reuse and sparsity,1,0,1,1,4.6052,SPECIALIZED,Positive
Constrained diffusion models,1,0,1,1,4.6052,SPECIALIZED,Positive
Cost-robust contracts,1,0,1,1,4.6052,SPECIALIZED,Positive
Counterfactual Clamping Attack,1,0,1,1,4.6052,SPECIALIZED,Positive
Cross-Layer Attention,1,0,1,1,4.6052,SPECIALIZED,Positive
Cryptographic transformer circuits,1,0,1,1,4.6052,SPECIALIZED,Positive
Custom kernel for per-example gradient norms,1,0,1,1,4.6052,SPECIALIZED,Positive
DESP,1,0,1,1,4.6052,SPECIALIZED,Positive
Differentiable training objective for error control,1,0,1,1,4.6052,SPECIALIZED,Positive
Disagreement upper bound,1,0,1,1,4.6052,SPECIALIZED,Positive
Distributed Lion,1,0,1,1,4.6052,SPECIALIZED,Positive
Double-Ended Synthesis Planning,1,0,1,1,4.6052,SPECIALIZED,Positive
E2GN2,1,0,1,1,4.6052,SPECIALIZED,Positive
Event-based Graph Spatiotemporal Sensitive Transformer,1,0,1,1,4.6052,SPECIALIZED,Positive
Execution graph,1,0,1,1,4.6052,SPECIALIZED,Positive
Exploration-enhanced Equivariant Graph Neural Networks,1,0,1,1,4.6052,SPECIALIZED,Positive
Factor Relaxation with Latent Coupling,1,0,1,1,4.6052,SPECIALIZED,Positive
FactorizePhys,1,0,1,1,4.6052,SPECIALIZED,Positive
Factorized Self-Attention Module,1,0,1,1,4.6052,SPECIALIZED,Positive
Fine-grained non-asymptotic analysis,1,0,1,1,4.6052,SPECIALIZED,Positive
Fixed-point forward gradients training,1,0,1,1,4.6052,SPECIALIZED,Positive
Flow equations via a stochastic-process approach,1,0,1,1,4.6052,SPECIALIZED,Positive
Framework for discovering continuous and discrete symmetry beyond the affine transformation group,1,0,1,1,4.6052,SPECIALIZED,Positive
Gorilla,1,0,1,1,4.6052,SPECIALIZED,Positive
Hybrid system combining LLMs and rule-based reasoning,1,0,1,1,4.6052,SPECIALIZED,Positive
Imagination-searching-criticizing framework,1,0,1,1,4.6052,SPECIALIZED,Positive
Immiscible Diffusion,1,0,1,1,4.6052,SPECIALIZED,Positive
Implicit bias analysis of deep linear models,1,0,1,1,4.6052,SPECIALIZED,Positive
Input pre-processing technique,1,0,1,1,4.6052,SPECIALIZED,Positive
Iterative self-reflection feedback loop,1,0,1,1,4.6052,SPECIALIZED,Positive
Iteratively reweighted least squares variant,1,0,1,1,4.6052,SPECIALIZED,Positive
JB-CO-Task,1,0,1,1,4.6052,SPECIALIZED,Positive
JB-CO-Text,1,0,1,1,4.6052,SPECIALIZED,Positive
JB-MisGen,1,0,1,1,4.6052,SPECIALIZED,Positive
LACIE,1,0,1,1,4.6052,SPECIALIZED,Positive
LACIE listener-aware finetuning method,1,0,1,1,4.6052,SPECIALIZED,Positive
Latent Preference Induction,1,0,1,1,4.6052,SPECIALIZED,Positive
Learnability-based training,1,0,1,1,4.6052,SPECIALIZED,Positive
Listener-aware finetuning,1,0,1,1,4.6052,SPECIALIZED,Positive
MIDAS,1,0,1,1,4.6052,SPECIALIZED,Positive
MPR optimization algorithms,1,0,1,1,4.6052,SPECIALIZED,Positive
Margin consistency,1,0,1,1,4.6052,SPECIALIZED,Positive
Matrix completion for MBR approximation,1,0,1,1,4.6052,SPECIALIZED,Positive
Matrix completion for MBR decoding,1,0,1,1,4.6052,SPECIALIZED,Positive
